shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2014-10-14 00:00:00,12510,1149378,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2010-07-28 00:00:00,10361,1011894,175.0,10361,ARTWORK,2141,2010,N,PARTNER,5.1647859739235145
2012-05-14 00:00:00,10668,1058151,175.0,10668,ARTWORK,2141,2012,N,PARTNER,5.1647859739235145
2010-01-06 00:00:00,11045,1036580,10.0,11045,ARTWORK,2173,2010,N,AD,2.302585092994046
2013-02-21 00:00:00,10479,1084167,333.75,10479,ARTWORK,2236,2013,N,WEB,5.810392209714459
2012-11-12 00:00:00,10475,1053047,173.55,10475,ARTWORK,2236,2012,N,WEB,5.1564657423077955
2016-01-19 00:00:00,10316,1474115,195.0,10316,ARTWORK,2236,2016,N,WEB,5.272999558563747
2015-12-17 00:00:00,10935,1453163,175.5,10935,ARTWORK,2141,2015,N,PARTNER,5.167639042905921
2011-05-24 00:00:00,11053,1040415,11.0,11053,ARTWORK,2178,2011,N,INSERT,2.3978952727983707
2015-03-30 00:00:00,10090,1271996,175.5,10090,ARTWORK,2141,2015,N,PARTNER,5.167639042905921
2011-02-10 00:00:00,11009,1001509,20.0,11009,ARTWORK,2141,2011,N,PARTNER,2.995732273553991
2013-12-16 00:00:00,11414,1074821,175.5,11414,ARTWORK,2236,2013,N,WEB,5.167639042905921
2015-05-07 00:00:00,10628,1300145,306.0,10628,ARTWORK,2141,2015,N,PARTNER,5.723585101952381
2011-07-31 00:00:00,10022,1047749,173.55,10022,ARTWORK,2236,2011,N,WEB,5.1564657423077955
2011-02-10 00:00:00,11009,1037715,20.0,11009,ARTWORK,2173,2011,N,AD,2.995732273553991
2015-01-27 00:00:00,12925,1226009,175.5,12925,ARTWORK,2141,2015,N,PARTNER,5.167639042905921
2014-06-19 00:00:00,10198,1119580,306.0,10198,ARTWORK,2141,2014,N,PARTNER,5.723585101952381
2010-11-29 00:00:00,11052,1038257,20.0,11052,ARTWORK,2173,2010,N,AD,2.995732273553991
2016-01-11 00:00:00,12171,1467153,40.45,12171,ARTWORK,2141,2016,N,PARTNER,3.700066643504501
2013-06-07 00:00:00,11066,1089739,18.51,11066,ARTWORK,2236,2013,N,WEB,2.9183111265854063
2011-01-07 00:00:00,11009,1005703,10.0,11009,ARTWORK,2141,2011,N,PARTNER,2.302585092994046
2015-06-21 00:00:00,11334,1329144,432.0,11334,ARTWORK,2012,2015,N,AD,6.068425588244111
2015-07-13 00:00:00,12903,1343126,486.0,12903,ARTWORK,2141,2015,N,PARTNER,6.186208623900494
2016-03-30 00:00:00,10167,1524161,375.0,10167,ARTWORK,2236,2016,N,WEB,5.926926025970411
2015-06-22 00:00:00,12825,1324197,89.95,12825,ARTWORK,2236,2015,N,WEB,4.499253960396542
2013-04-15 00:00:00,11054,1093163,12.95,11054,ARTWORK,2236,2013,N,WEB,2.5610957881455465
2011-01-07 00:00:00,11009,1006275,10.0,11009,ARTWORK,2173,2011,N,AD,2.302585092994046
2013-11-04 00:00:00,11366,1075822,323.0,11366,ARTWORK,2141,2013,N,PARTNER,5.777652323222656
