Month,Year,Channel,TotalRevenue
1,2013,INTERNAL,0.0
1,2014,INTERNAL,0.0
3,2010,MAIL,0.0
1,2012,MAIL,0.0
4,2014,MAIL,76.5
4,2016,MAIL,1156.5500000000004
3,2011,MAIL,0.0
1,2013,MAIL,0.0
12,2012,MAIL,0.0
6,2012,MAIL,0.0
8,2014,MAIL,78.66
4,2015,MAIL,7074.3
10,2011,MAIL,0.0
7,2011,MAIL,312.0
10,2012,MAIL,0.0
3,2012,MAIL,20.25
8,2015,MAIL,821.41
7,2015,MAIL,1677.7400000000005
10,2010,MAIL,0.0
6,2015,MAIL,3393.3300000000004
9,2013,MAIL,0.0
3,2016,MAIL,1011.6
9,2012,MAIL,0.0
12,2015,MAIL,764.1200000000001
4,2011,MAIL,0.0
1,2010,MAIL,0.0
9,2014,MAIL,1996.61
3,2015,MAIL,2297.92
6,2014,MAIL,1519.43
9,2011,MAIL,0.0
8,2016,MAIL,323.05
6,2016,MAIL,1260.8000000000002
4,2012,MAIL,0.0
9,2015,MAIL,3005.280000000002
3,2014,MAIL,0.0
1,2011,MAIL,312.03000000000003
9,2010,MAIL,0.0
12,2013,MAIL,0.0
6,2013,MAIL,0.0
4,2013,MAIL,0.0
9,2016,MAIL,10.75
12,2011,MAIL,10.95
7,2010,MAIL,0.0
12,2014,MAIL,3513.1399999999994
3,2013,MAIL,0.0
4,2010,MAIL,0.0
10,2013,MAIL,0.0
7,2013,MAIL,0.0
8,2011,MAIL,720.0
1,2015,MAIL,1621.91
5,2012,MAIL,0.0
6,2011,MAIL,312.0
11,2010,MAIL,0.0
2,2013,MAIL,0.0
1,2016,MAIL,1962.3100000000002
8,2010,MAIL,0.0
5,2016,MAIL,1420.7600000000011
2,2014,MAIL,0.0
5,2013,MAIL,0.0
2,2012,MAIL,0.0
7,2014,MAIL,593.5000000000001
11,2012,MAIL,0.0
7,2016,MAIL,989.9000000000007
11,2014,MAIL,3962.86
5,2014,MAIL,1674.9100000000003
2,2011,MAIL,0.0
2,2010,MAIL,0.0
5,2015,MAIL,5031.219999999999
11,2013,MAIL,0.0
11,2011,MAIL,25.0
10,2015,MAIL,1773.2000000000007
11,2015,MAIL,1621.8600000000004
1,2014,MAIL,0.0
5,2010,MAIL,0.0
8,2012,MAIL,0.0
2,2016,MAIL,532.2
2,2015,MAIL,1950.8900000000003
12,2010,MAIL,9000.819999999996
8,2013,MAIL,0.0
7,2012,MAIL,0.0
10,2014,MAIL,1736.3899999999999
6,2010,MAIL,0.0
5,2011,MAIL,22.5
11,2014,PARTNER,183691.75999999975
3,2015,PARTNER,92669.46999999895
3,2010,PARTNER,13523.949999999997
12,2014,PARTNER,314392.240000004
1,2016,PARTNER,79604.24999999985
10,2012,PARTNER,31414.12000000004
10,2010,PARTNER,41090.03000000002
11,2012,PARTNER,141465.70999999964
1,2013,PARTNER,71060.19000000002
2,2010,PARTNER,2415.3700000000003
2,2016,PARTNER,59610.87000000002
3,2016,PARTNER,108176.42999999976
